Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  06.08.2001;108,20;108,44;108,15;108,34;405.416
  07.08.2001;108,36;108,47;108,22;108,26;492.140
  08.08.2001;108,30;108,35;108,11;108,35;409.700
  09.08.2001;108,66;108,90;108,62;108,83;790.206
  10.08.2001;108,73;109,13;108,66;109,08;598.650
  13.08.2001;109,10;109,20;108,90;109,07;437.991
  14.08.2001;109,01;109,03;108,68;108,90;608.415
  15.08.2001;108,92;109,09;108,80;108,88;460.450
  16.08.2001;109,00;109,17;108,90;109,12;641.573
  17.08.2001;109,11;109,51;109,03;109,38;732.561
  20.08.2001;109,45;109,48;109,17;109,29;438.471
  21.08.2001;109,27;109,31;108,92;108,96;515.269
  22.08.2001;109,12;109,19;108,54;108,75;887.281
  23.08.2001;108,76;108,84;108,55;108,77;528.835
  24.08.2001;108,83;108,85;108,39;108,48;553.115
  27.08.2001;108,49;108,59;108,34;108,58;216.318
  28.08.2001;108,55;109,06;108,46;108,99;665.413
  29.08.2001;109,06;109,15;108,86;109,02;575.500
  30.08.2001;109,14;109,39;108,92;109,37;747.433
  31.08.2001;109,36;109,44;108,98;109,13;581.155
  03.09.2001;109,14;109,22;109,06;109,19;221.560
  04.09.2001;109,07;109,10;108,12;108,15;903.409
  05.09.2001;108,25;108,39;108,11;108,24;583.154
  06.09.2001;108,17;108,31;107,89;108,26;65.537
  07.09.2001;108,11;108,64;107,99;108,55;894.165
  10.09.2001;108,55;108,72;108,09;108,25;659.866
  11.09.2001;108,19;109,25;107,87;108,89;1.038.372
  12.09.2001;109,15;109,25;108,35;108,50;524.720
  13.09.2001;108,47;108,74;108,17;108,51;724.504
  14.09.2001;108,54;109,14;108,48;108,93;649.865
  17.09.2001;109,00;109,19;108,58;108,68;767.983
  18.09.2001;108,69;108,87;108,45;108,48;862.945
  19.09.2001;108,40;108,52;108,14;108,35;795.417
  20.09.2001;108,33;108,50;108,04;108,26;769.017
  21.09.2001;108,16;108,40;107,92;108,00;843.146
  24.09.2001;107,95;108,01;107,65;107,95;539.428
  25.09.2001;107,97;108,46;107,92;108,35;694.376
  26.09.2001;108,35;108,65;108,24;108,64;545.525
  27.09.2001;108,77;108,92;108,68;108,80;622.683
  28.09.2001;108,80;109,14;108,59;108,65;711.106
  30.09.2001;109,14;109,25;107,65;108,65;0
  01.10.2001;108,60;108,99;108,58;108,95;482.827
  02.10.2001;109,05;109,50;109,02;109,48;778.415
  03.10.2001;109,62;109,89;109,55;109,84;725.934
  04.10.2001;109,70;109,85;109,48;109,62;825.136
  05.10.2001;109,70;109,95;109,68;109,87;698.616
  08.10.2001;110,00;110,12;109,62;109,63;546.658
  09.10.2001;109,73;109,78;109,38;109,45;586.337
  10.10.2001;109,44;109,60;109,32;109,55;583.204
  11.10.2001;109,55;109,74;109,12;109,31;988.800
  12.10.2001;109,28;109,69;109,25;109,60;638.132
  15.10.2001;109,58;109,85;109,46;109,83;466.662
  16.10.2001;109,90;109,95;109,68;109,88;601.662
  17.10.2001;109,93;109,97;109,58;109,93;739.870
  18.10.2001;110,00;110,17;109,92;110,14;655.655
  19.10.2001;110,11;110,35;109,95;109,99;862.791
  22.10.2001;109,94;110,29;109,88;110,24;371.133
  23.10.2001;110,14;110,19;109,96;110,14;593.047
  24.10.2001;110,18;110,58;110,18;110,50;688.028
  25.10.2001;110,61;110,99;110,46;110,98;841.168
  26.10.2001;110,92;111,17;110,75;111,05;600.720
  29.10.2001;111,16;111,38;111,10;111,27;548.380
  30.10.2001;111,29;111,78;111,29;111,73;733.819
  31.10.2001;111,82;112,04;111,51;112,00;1.049.778
  01.11.2001;112,13;112,97;112,05;112,86;1.144.802
  02.11.2001;112,59;112,70;112,06;112,12;1.055.333
  05.11.2001;112,11;112,50;111,92;112,38;634.153
