Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  04.08.2011;131,55;133,28;131,27;132,79;1.340.869
  05.08.2011;133,16;133,77;130,52;132,36;1.417.138
  08.08.2011;131,60;133,70;130,57;133,08;1.216.535
  09.08.2011;133,25;133,96;132,22;132,41;1.022.255
  10.08.2011;133,10;134,54;132,64;134,10;1.001.727
  11.08.2011;133,75;134,54;132,78;133,30;1.141.867
  12.08.2011;133,50;133,81;132,51;132,96;802.973
  15.08.2011;132,80;133,14;132,47;132,93;374.887
  16.08.2011;132,87;133,79;132,52;133,11;655.883
  17.08.2011;133,53;134,37;133,36;133,92;692.661
  18.08.2011;134,32;136,26;134,29;135,75;1.017.919
  19.08.2011;135,88;136,18;135,02;135,31;868.797
  22.08.2011;135,37;135,84;134,74;135,18;597.737
  23.08.2011;135,13;135,47;134,63;135,28;746.450
  24.08.2011;135,16;135,33;134,25;134,54;883.812
  25.08.2011;134,45;135,01;133,88;134,84;889.223
  26.08.2011;134,77;135,84;134,67;135,21;685.610
  29.08.2011;134,81;135,16;134,18;134,39;325.828
  30.08.2011;134,52;135,61;134,31;135,28;697.965
  31.08.2011;135,14;135,29;134,30;134,56;876.156
  01.09.2011;134,25;135,54;134,22;135,30;1.105.867
  02.09.2011;135,53;136,97;135,51;136,64;964.829
  05.09.2011;137,00;138,74;136,90;138,32;996.448
  06.09.2011;138,57;138,86;137,65;138,61;1.620.154
  07.09.2011;137,94;138,27;137,53;137,80;503.408
  08.09.2011;138,06;138,21;137,88;138,16;20.147
  09.09.2011;136,70;138,23;136,56;137,77;847.945
  12.09.2011;138,05;138,61;137,95;138,24;781.482
  13.09.2011;138,10;138,91;137,46;137,73;1.077.404
  14.09.2011;137,99;138,26;136,53;136,87;1.149.889
  15.09.2011;136,81;136,94;135,12;135,99;1.114.937
  16.09.2011;136,13;136,83;135,69;136,65;876.096
  19.09.2011;137,16;137,73;137,05;137,43;586.437
  20.09.2011;137,77;138,14;137,20;137,44;807.234
  21.09.2011;137,55;137,94;137,17;137,80;797.817
  22.09.2011;138,25;139,07;138,22;138,56;1.025.435
  23.09.2011;138,77;139,19;137,48;138,12;898.129
  26.09.2011;137,95;138,39;136,85;137,27;943.981
  27.09.2011;136,75;136,75;135,53;135,88;1.160.682
  28.09.2011;136,13;136,29;135,01;135,66;1.046.082
  29.09.2011;135,56;136,04;135,17;135,25;784.527
  30.09.2011;135,65;136,80;135,48;136,49;879.918
  03.10.2011;136,88;138,10;136,83;137,44;619.663
  04.10.2011;137,91;138,80;137,85;138,24;974.223
  05.10.2011;138,00;138,28;136,81;137,06;956.613
  06.10.2011;136,99;137,33;135,81;135,88;1.129.109
  07.10.2011;135,87;136,25;135,08;135,41;775.304
  10.10.2011;135,68;135,80;134,40;134,62;633.070
  11.10.2011;134,75;134,99;134,40;134,55;694.801
  12.10.2011;134,73;134,86;133,15;133,56;928.180
  13.10.2011;133,57;134,75;133,21;134,39;987.602
  14.10.2011;134,14;134,55;133,29;133,40;926.651
  17.10.2011;133,29;134,97;132,94;134,62;895.356
  18.10.2011;134,80;135,85;134,80;135,58;971.324
  19.10.2011;135,12;135,45;134,32;135,09;954.403
  20.10.2011;135,48;135,94;134,62;135,43;985.375
  21.10.2011;135,28;135,80;134,52;134,67;742.616
  24.10.2011;134,44;135,53;134,42;134,77;682.640
  25.10.2011;134,80;135,39;134,14;135,26;966.435
  26.10.2011;135,33;136,04;134,72;135,62;901.416
  27.10.2011;134,55;134,78;133,15;133,71;1.040.210
  28.10.2011;133,40;134,04;132,89;133,67;839.673
  31.10.2011;134,09;136,68;133,98;135,47;833.065
  01.11.2011;137,00;138,54;136,81;138,15;1.042.929
  02.11.2011;137,90;138,00;137,16;137,57;803.812
  03.11.2011;138,09;138,36;136,44;136,87;1.005.227
  04.11.2011;136,52;137,96;136,35;137,60;741.451
  07.11.2011;137,69;138,50;137,52;137,91;686.445
  08.11.2011;137,99;138,24;137,06;138,03;734.315
  09.11.2011;137,19;139,32;137,08;138,81;1.003.941
  10.11.2011;139,50;139,58;137,90;138,55;862.383
  11.11.2011;138,35;138,43;136,92;137,26;548.663
  14.11.2011;137,28;138,70;137,03;138,26;667.546
  15.11.2011;138,60;139,07;138,23;138,71;759.033
  16.11.2011;138,91;139,00;137,92;138,15;828.774
  17.11.2011;138,23;138,79;137,19;137,32;933.174
  18.11.2011;138,00;138,03;136,19;136,50;812.651
  21.11.2011;136,84;137,70;136,68;137,15;599.258
  22.11.2011;137,15;137,48;136,73;137,25;693.893
  23.11.2011;137,50;137,79;135,27;135,81;1.045.742
  24.11.2011;135,42;135,46;134,36;135,05;628.464
  25.11.2011;134,80;135,40;134,06;134,12;561.242
  28.11.2011;134,03;134,52;133,36;133,88;642.884
  29.11.2011;133,94;134,37;132,99;133,39;823.334
  30.11.2011;133,89;134,50;133,36;133,82;1.001.653
  01.12.2011;133,67;135,21;133,56;134,88;874.828
  02.12.2011;134,90;135,62;134,53;135,51;717.736
  05.12.2011;135,35;135,40;134,06;134,82;1.008.537
  06.12.2011;134,37;134,98;134,04;134,87;1.163.064
  07.12.2011;134,65;135,92;134,32;135,51;420.999
  08.12.2011;135,52;135,73;135,23;135,56;30.547
  09.12.2011;137,10;137,12;135,30;135,37;514.028
  12.12.2011;135,22;136,83;135,22;136,54;426.276
  13.12.2011;136,62;136,91;135,97;136,61;459.087
  14.12.2011;136,76;138,08;136,61;137,86;505.610
  15.12.2011;138,18;138,21;137,43;137,63;455.732
  16.12.2011;137,77;138,86;137,60;138,58;355.499
  19.12.2011;138,65;138,69;138,08;138,39;235.893
  20.12.2011;138,23;138,36;137,39;137,50;298.109
  21.12.2011;137,51;138,08;136,69;137,83;401.964
  22.12.2011;137,77;137,90;137,15;137,75;255.289
  23.12.2011;137,58;137,94;137,45;137,55;99.827
  27.12.2011;137,97;138,62;137,50;137,98;90.892
  28.12.2011;138,19;138,50;137,74;138,21;132.562
  29.12.2011;138,45;138,96;138,13;138,92;164.888
  30.12.2011;138,86;139,13;138,60;139,04;114.998
  02.01.2012;139,30;139,32;138,09;138,19;91.298
  03.01.2012;138,34;138,48;137,79;138,29;377.508
  04.01.2012;138,20;138,48;137,77;138,09;565.747
  05.01.2012;137,94;138,98;137,70;138,79;621.714
  06.01.2012;138,62;139,00;138,28;138,84;420.617
  09.01.2012;139,03;139,12;138,49;139,10;346.760
  10.01.2012;138,81;139,05;138,43;138,72;501.918
  11.01.2012;138,73;139,44;138,50;139,35;622.241
  12.01.2012;139,23;139,44;138,95;139,16;581.697
  13.01.2012;139,01;140,23;138,73;139,94;821.033
  16.01.2012;140,14;140,16;139,70;139,86;294.431
  17.01.2012;139,72;139,88;139,24;139,68;630.859
  18.01.2012;139,73;140,01;139,38;139,87;623.983
  19.01.2012;139,62;139,75;138,84;138,96;709.878
  20.01.2012;138,89;138,99;137,86;138,12;785.424
  23.01.2012;138,19;138,45;137,25;137,44;698.214
  24.01.2012;137,52;137,90;137,18;137,30;793.107
  25.01.2012;137,32;138,41;137,18;137,82;755.934
  26.01.2012;138,07;138,92;137,88;138,69;705.113
  27.01.2012;138,80;139,26;138,52;138,89;637.797
  30.01.2012;139,25;139,77;139,11;139,67;503.534
  31.01.2012;139,59;139,89;139,08;139,72;717.058
  01.02.2012;139,75;139,77;138,99;139,24;703.181
  02.02.2012;139,04;139,79;138,88;139,04;759.514
