Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  04.08.2016;166,69;167,69;166,56;167,59;660.720
  05.08.2016;167,62;167,64;167,05;167,15;426.661
  08.08.2016;166,98;167,24;166,76;167,10;393.233
  09.08.2016;167,20;167,57;166,91;167,44;438.210
  10.08.2016;167,60;168,00;167,49;167,84;492.783
  11.08.2016;167,87;168,02;167,31;167,66;381.893
  12.08.2016;167,52;167,97;167,40;167,78;374.590
  15.08.2016;167,65;167,86;167,17;167,24;337.200
  16.08.2016;167,40;167,61;166,66;166,70;556.497
  17.08.2016;166,82;167,31;166,65;166,95;458.737
  18.08.2016;167,24;167,68;167,16;167,46;400.111
  19.08.2016;167,46;167,59;166,76;166,97;414.307
  22.08.2016;166,90;167,65;166,85;167,50;432.532
  23.08.2016;167,50;167,84;167,37;167,67;476.583
  24.08.2016;167,67;167,73;167,44;167,56;401.916
  25.08.2016;167,60;167,64;167,12;167,47;455.930
  26.08.2016;167,49;167,76;166,87;167,70;478.784
  29.08.2016;166,96;167,75;166,55;167,57;351.011
  30.08.2016;167,60;167,86;167,37;167,73;530.082
  31.08.2016;167,74;167,76;167,25;167,38;579.312
  01.09.2016;167,26;167,48;166,95;167,38;928.286
  02.09.2016;167,34;167,70;166,92;166,96;906.656
  05.09.2016;167,22;167,44;167,13;167,26;962.973
  06.09.2016;167,29;168,21;167,15;168,06;1.355.028
  07.09.2016;168,12;168,42;168,06;168,32;272.178
  08.09.2016;165,50;165,62;164,48;164,75;911.686
  09.09.2016;164,60;164,62;163,53;163,65;898.026
  12.09.2016;163,50;163,69;163,04;163,35;833.455
  13.09.2016;163,70;163,93;162,56;163,29;757.025
  14.09.2016;162,93;163,70;162,79;163,53;716.156
  15.09.2016;163,44;163,78;163,04;163,48;699.458
  16.09.2016;163,72;164,29;163,57;163,96;609.324
  19.09.2016;163,86;164,11;163,63;163,75;469.634
  20.09.2016;163,65;164,29;163,65;164,18;547.872
  21.09.2016;163,96;164,37;163,80;163,84;558.481
  22.09.2016;164,32;165,32;164,32;165,22;775.785
  23.09.2016;165,08;165,28;164,98;165,03;484.484
  26.09.2016;165,14;165,75;165,08;165,50;536.174
  27.09.2016;165,50;166,27;165,46;165,98;764.442
  28.09.2016;165,97;166,19;165,75;166,15;702.974
  29.09.2016;165,72;166,08;165,59;165,74;587.019
  30.09.2016;166,09;166,36;165,54;165,70;899.096
  03.10.2016;165,69;165,85;165,30;165,40;352.828
  04.10.2016;165,41;165,68;164,68;165,30;832.829
  05.10.2016;164,84;165,03;164,14;164,23;1.018.759
  06.10.2016;164,38;164,87;164,04;164,18;1.066.393
  07.10.2016;164,25;164,30;163,72;163,91;860.601
  10.10.2016;164,05;164,18;163,31;163,42;584.949
  11.10.2016;163,52;163,92;163,40;163,72;777.310
  12.10.2016;163,58;163,82;163,15;163,30;587.640
  13.10.2016;163,70;163,96;163,47;163,76;667.698
  14.10.2016;163,60;163,69;163,20;163,46;619.879
  17.10.2016;163,31;163,57;162,81;163,47;685.572
  18.10.2016;163,42;163,81;163,30;163,74;597.518
  19.10.2016;163,74;164,04;163,71;163,82;599.568
  20.10.2016;163,68;164,33;163,24;164,29;840.423
  21.10.2016;164,28;164,34;164,04;164,22;555.696
  24.10.2016;164,40;164,54;163,86;163,96;607.305
  25.10.2016;163,88;164,16;163,71;164,02;658.472
  26.10.2016;163,90;164,06;162,89;163,04;995.619
  27.10.2016;163,02;163,19;161,72;161,97;1.165.604
  28.10.2016;161,85;162,28;161,37;162,08;908.480
  31.10.2016;162,08;162,32;161,95;162,17;666.426
  01.11.2016;161,94;162,36;161,53;161,84;751.505
  02.11.2016;162,31;162,78;162,18;162,57;837.664
  03.11.2016;162,57;162,70;161,93;162,10;792.855
  04.11.2016;162,10;162,62;162,10;162,50;596.884
  07.11.2016;162,00;162,37;161,94;162,29;455.189
  08.11.2016;162,24;162,45;161,69;161,92;564.410
  09.11.2016;162,66;163,19;160,89;162,01;1.204.379
  10.11.2016;161,22;161,54;160,08;160,64;1.385.054
  11.11.2016;160,62;160,62;159,77;160,27;756.875
  14.11.2016;159,72;160,38;159,14;159,90;1.161.299
  15.11.2016;160,21;160,63;160,15;160,41;882.925
  16.11.2016;160,32;160,59;159,82;160,32;781.330
  17.11.2016;160,58;160,96;160,35;160,77;796.998
  18.11.2016;160,16;161,09;159,98;160,73;889.644
  21.11.2016;160,95;160,97;160,50;160,79;521.594
  22.11.2016;160,75;161,58;160,70;161,40;742.147
  23.11.2016;161,31;161,72;160,31;160,76;1.255.920
  24.11.2016;161,09;161,40;160,88;161,01;430.067
  25.11.2016;161,09;161,59;161,03;161,36;609.589
  28.11.2016;161,73;162,08;161,48;162,02;698.740
  29.11.2016;161,98;162,01;161,33;161,50;909.278
  30.11.2016;161,87;162,01;160,80;161,06;1.166.038
  01.12.2016;160,77;160,97;159,54;160,26;1.335.663
