"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"3185";"EU";"2001-09-07";"K";"34";"60";"10";"16";"20";"8";"0000-00-00 00:00:00"
"7067";"EU";"2001-09-07";"M";"63";"24";"18";"24";"14";"6";"0000-00-00 00:00:00"
"3186";"EU";"2001-09-14";"K";"59";"44";"8";"28";"18";"5";"0000-00-00 00:00:00"
"7068";"EU";"2001-09-14";"M";"63";"30";"18";"24";"17";"10";"0000-00-00 00:00:00"
"3187";"EU";"2001-09-21";"K";"37";"43";"8";"23";"11";"5";"0000-00-00 00:00:00"
"7069";"EU";"2001-09-21";"M";"43";"26";"19";"23";"11";"5";"0000-00-00 00:00:00"
"3188";"EU";"2001-09-28";"K";"41";"59";"13";"22";"17";"7";"0000-00-00 00:00:00"
"7070";"EU";"2001-09-28";"M";"68";"32";"13";"26";"14";"6";"0000-00-00 00:00:00"
"3189";"EU";"2001-10-05";"K";"26";"62";"10";"15";"18";"5";"0000-00-00 00:00:00"
"7071";"EU";"2001-10-05";"M";"48";"30";"20";"20";"14";"4";"0000-00-00 00:00:00"
"3190";"EU";"2001-10-12";"K";"19";"62";"28";"16";"20";"10";"0000-00-00 00:00:00"
"7072";"EU";"2001-10-12";"M";"52";"35";"23";"19";"18";"9";"0000-00-00 00:00:00"
"3191";"EU";"2001-10-19";"K";"24";"62";"22";"16";"19";"9";"0000-00-00 00:00:00"
"7073";"EU";"2001-10-19";"M";"51";"42";"16";"25";"12";"7";"0000-00-00 00:00:00"
"3192";"EU";"2001-10-26";"K";"17";"71";"22";"16";"21";"11";"0000-00-00 00:00:00"
"7074";"EU";"2001-10-26";"M";"43";"40";"28";"24";"16";"8";"0000-00-00 00:00:00"
"3193";"EU";"2001-11-09";"K";"20";"68";"20";"11";"26";"9";"0000-00-00 00:00:00"
"7075";"EU";"2001-11-09";"M";"50";"34";"22";"20";"20";"6";"0000-00-00 00:00:00"
"3194";"EU";"2001-11-16";"K";"20";"55";"16";"9";"17";"5";"0000-00-00 00:00:00"
"7076";"EU";"2001-11-16";"M";"37";"36";"18";"12";"12";"7";"0000-00-00 00:00:00"
"3195";"EU";"2001-11-23";"K";"19";"56";"19";"11";"15";"12";"0000-00-00 00:00:00"
"7077";"EU";"2001-11-23";"M";"38";"38";"19";"14";"15";"9";"0000-00-00 00:00:00"
"3196";"EU";"2001-11-30";"K";"26";"48";"17";"20";"19";"8";"0000-00-00 00:00:00"
"7078";"EU";"2001-11-30";"M";"40";"31";"20";"23";"17";"7";"0000-00-00 00:00:00"
"3197";"EU";"2001-12-07";"K";"29";"62";"7";"12";"23";"5";"0000-00-00 00:00:00"
"7079";"EU";"2001-12-07";"M";"44";"32";"22";"18";"15";"6";"0000-00-00 00:00:00"
"3198";"EU";"2001-12-14";"K";"24";"61";"6";"27";"17";"5";"0000-00-00 00:00:00"
"7080";"EU";"2001-12-14";"M";"38";"36";"17";"24";"17";"8";"0000-00-00 00:00:00"
"3199";"EU";"2002-01-04";"K";"41";"52";"8";"26";"12";"6";"0000-00-00 00:00:00"
