"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"10447";"CS";"2010-04-30";"K";"155";"229";"176";"51";"76";"62";"2010-05-02 20:00:00"
"10460";"CS";"2010-04-30";"M";"221";"168";"168";"46";"73";"70";"2010-05-02 20:00:00"
"10473";"CS";"2010-05-07";"K";"90";"175";"283";"40";"56";"79";"2010-05-09 20:00:00"
"10486";"CS";"2010-05-07";"M";"181";"160";"209";"44";"64";"68";"2010-05-09 20:00:00"
"10499";"CS";"2010-05-14";"K";"153";"211";"174";"40";"68";"59";"2010-05-16 20:00:00"
"10512";"CS";"2010-05-14";"M";"181";"142";"222";"42";"59";"67";"2010-05-16 20:00:00"
"10525";"CS";"2010-05-21";"K";"94";"200";"223";"39";"60";"73";"2010-05-23 20:00:00"
"10538";"CS";"2010-05-21";"M";"162";"160";"191";"51";"44";"77";"2010-05-23 20:00:00"
"10551";"CS";"2010-05-28";"K";"178";"223";"142";"72";"81";"38";"2010-05-30 20:00:00"
"10564";"CS";"2010-05-28";"M";"193";"177";"171";"55";"61";"75";"2010-05-30 20:00:00"
"10577";"CS";"2010-06-04";"K";"128";"222";"137";"44";"66";"55";"2010-06-06 20:00:00"
"10590";"CS";"2010-06-04";"M";"151";"174";"161";"40";"46";"79";"2010-06-06 20:00:00"
"10603";"CS";"2010-06-11";"K";"182";"225";"115";"72";"77";"31";"2010-06-13 20:00:00"
"10616";"CS";"2010-06-11";"M";"191";"158";"176";"57";"59";"64";"2010-06-13 20:00:00"
"10629";"CS";"2010-06-18";"K";"172";"241";"117";"62";"81";"37";"2010-06-20 20:00:00"
"10642";"CS";"2010-06-18";"M";"186";"167";"173";"53";"62";"64";"2010-06-20 20:00:00"
"10655";"CS";"2010-06-25";"K";"154";"240";"132";"62";"78";"57";"2010-06-27 20:00:00"
"10668";"CS";"2010-06-25";"M";"197";"164";"162";"61";"55";"80";"2010-06-27 20:00:00"
"10681";"CS";"2010-07-02";"K";"97";"200";"213";"45";"71";"73";"2010-07-04 20:00:00"
"10694";"CS";"2010-07-02";"M";"181";"159";"172";"65";"57";"67";"2010-07-04 20:00:00"
"10707";"CS";"2010-07-09";"K";"145";"257";"129";"67";"79";"51";"2010-07-11 20:00:00"
"10720";"CS";"2010-07-09";"M";"176";"168";"181";"51";"66";"81";"2010-07-11 20:00:00"
"10733";"CS";"2010-07-16";"K";"113";"230";"165";"45";"62";"67";"2010-07-18 20:00:00"
"10746";"CS";"2010-07-16";"M";"179";"168";"160";"56";"58";"61";"2010-07-18 20:00:00"
"10759";"CS";"2010-07-23";"K";"167";"249";"92";"56";"74";"33";"2010-07-25 20:00:00"
"10772";"CS";"2010-07-23";"M";"208";"183";"120";"64";"46";"54";"2010-07-25 20:00:00"
"10785";"CS";"2010-07-30";"K";"130";"245";"119";"43";"73";"45";"2010-08-01 20:00:00"
"10798";"CS";"2010-07-30";"M";"199";"164";"130";"59";"47";"55";"2010-08-01 20:00:00"
"10811";"CS";"2010-08-06";"K";"168";"221";"109";"64";"75";"28";"2010-08-08 20:00:00"
"10824";"CS";"2010-08-06";"M";"200";"165";"124";"68";"58";"40";"2010-08-08 20:00:00"
"10837";"CS";"2010-08-13";"K";"83";"256";"166";"33";"81";"52";"2010-08-15 20:00:00"
"10850";"CS";"2010-08-13";"M";"213";"148";"141";"65";"53";"48";"2010-08-15 20:00:00"
"10863";"CS";"2010-08-20";"K";"80";"222";"172";"33";"87";"54";"2010-08-22 20:00:00"
"10876";"CS";"2010-08-20";"M";"213";"138";"123";"72";"55";"46";"2010-08-22 20:00:00"
"10889";"CS";"2010-08-27";"K";"99";"240";"161";"47";"87";"43";"2010-08-29 20:00:00"
"10902";"CS";"2010-08-27";"M";"214";"162";"124";"69";"63";"46";"2010-08-29 20:00:00"
"10915";"CS";"2010-09-03";"K";"193";"215";"93";"63";"75";"23";"2010-09-05 20:00:00"
"10928";"CS";"2010-09-03";"M";"245";"156";"98";"77";"55";"31";"2010-09-05 20:00:00"
"10941";"CS";"2010-09-10";"K";"195";"262";"94";"67";"87";"28";"2010-09-12 20:00:00"
"10954";"CS";"2010-09-10";"M";"291";"153";"104";"87";"61";"34";"2010-09-12 20:00:00"
"10967";"CS";"2010-09-17";"K";"191";"232";"108";"73";"84";"33";"2010-09-19 20:00:00"
"10980";"CS";"2010-09-17";"M";"291";"151";"91";"94";"62";"33";"2010-09-19 20:00:00"
"10993";"CS";"2010-09-24";"K";"177";"231";"138";"54";"90";"47";"2010-09-26 20:00:00"
"11006";"CS";"2010-09-24";"M";"280";"157";"108";"91";"66";"35";"2010-09-26 20:00:00"
"11019";"CS";"2010-10-01";"K";"203";"237";"111";"76";"79";"29";"2010-10-03 20:00:00"
"11032";"CS";"2010-10-01";"M";"301";"156";"93";"92";"62";"30";"2010-10-03 20:00:00"
"11045";"CS";"2010-10-08";"K";"241";"205";"89";"113";"63";"26";"2010-10-10 20:00:00"
"11058";"CS";"2010-10-08";"M";"313";"142";"84";"120";"54";"28";"2010-10-10 20:00:00"
"11071";"CS";"2010-10-15";"K";"375";"144";"62";"143";"38";"20";"2010-10-17 20:00:00"
