"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"1606";"TD";"2001-09-07";"K";"14";"31";"63";"2";"12";"28";"0000-00-00 00:00:00"
"5488";"TD";"2001-09-07";"M";"28";"42";"38";"10";"15";"17";"0000-00-00 00:00:00"
"1607";"TD";"2001-09-14";"K";"13";"45";"55";"10";"17";"21";"0000-00-00 00:00:00"
"5489";"TD";"2001-09-14";"M";"24";"46";"42";"6";"25";"17";"0000-00-00 00:00:00"
"1608";"TD";"2001-09-21";"K";"21";"19";"55";"9";"13";"15";"0000-00-00 00:00:00"
"5490";"TD";"2001-09-21";"M";"26";"36";"33";"9";"18";"11";"0000-00-00 00:00:00"
"1609";"TD";"2001-09-28";"K";"34";"51";"32";"14";"20";"9";"0000-00-00 00:00:00"
"5491";"TD";"2001-09-28";"M";"33";"57";"26";"9";"22";"12";"0000-00-00 00:00:00"
"1610";"TD";"2001-10-05";"K";"28";"50";"24";"4";"20";"12";"0000-00-00 00:00:00"
"5492";"TD";"2001-10-05";"M";"28";"52";"21";"11";"17";"8";"0000-00-00 00:00:00"
"1611";"TD";"2001-10-12";"K";"29";"38";"47";"13";"14";"16";"0000-00-00 00:00:00"
"5493";"TD";"2001-10-12";"M";"47";"48";"19";"13";"20";"10";"0000-00-00 00:00:00"
"1612";"TD";"2001-10-19";"K";"25";"46";"42";"12";"14";"19";"0000-00-00 00:00:00"
"5494";"TD";"2001-10-19";"M";"51";"42";"19";"12";"23";"9";"0000-00-00 00:00:00"
"1613";"TD";"2001-10-26";"K";"40";"36";"35";"15";"22";"11";"0000-00-00 00:00:00"
"5495";"TD";"2001-10-26";"M";"43";"48";"22";"13";"24";"11";"0000-00-00 00:00:00"
"1614";"TD";"2001-11-09";"K";"30";"39";"41";"17";"17";"11";"0000-00-00 00:00:00"
"5496";"TD";"2001-11-09";"M";"40";"41";"29";"13";"20";"12";"0000-00-00 00:00:00"
